id,name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_rating,crime_level,crime_incidents_count
42136175,Roof-top Pool 2-Bedroom 2-Bath West Side Hollywood,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,225,365,4.0,2.1413373860182396,658
42384968,Attractive Hollywood One Bedroom - Fully Furnished,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,73,151,3.5,2.1413373860182396,658
42606604,"Hollywood and Nature , Best of Both Worlds !",City of Los Angeles,Hollywood,34.1,-118.35,Private room,120,78,4.0,2.1413373860182396,658
42608683,The Hollywood SuperNatural,City of Los Angeles,Hollywood Hills West,34.1,-118.35,Private room,131,78,3.533,2.1413373860182396,658
42754738,Hollywood Penthouse  w/ Panoramic Sunset Views,City of Los Angeles,Hollywood Hills West,34.1,-118.35,Entire home/apt,200,210,4.0,2.1413373860182396,658
42983489,Central West Hollywood 2bd 2bth. Free Parking.,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,206,336,3.692,2.1413373860182396,658
43060206,Long Term/Corporate housing Hollywood apt + Pool,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,150,268,4.0,2.1413373860182396,658
43350361,ONE BEDROOM HOLLYWOOD APARTMENT,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,799,65,3.333,2.1413373860182396,658
43670830,Entire Hollywood Studio Apartment,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,126,343,3.5,2.1413373860182396,658
43740386,Green and sunny vintage WeHo home by Runyon Canyon,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,85,24,3.5,2.1413373860182396,658
43779261,Walk Everywhere in Hollywood - Large Bedroom/Bath,City of Los Angeles,Hollywood,34.1,-118.35,Private room,50,141,2.0,2.1413373860182396,658
43957315,BEAUTIFUL HOLLYWOOD APARTMENT,City of Los Angeles,Hollywood Hills West,34.1,-118.35,Entire home/apt,108,156,3.692,2.1413373860182396,658
44380139,BRANDNEW 1BROOM IN THE HEART OF HOLLYWOODRUNYONCYN,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,134,7,3.333,2.1413373860182396,658
45141762,Sunset’s LUXURY pad w/ POOL,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,194,21,3.429,2.1413373860182396,658
45244906,Cozy master bedroom on Hollywood,City of Los Angeles,Hollywood,34.1,-118.35,Private room,92,86,3.778,2.1413373860182396,658
45287156,Amazing master bedroom on Hollywood,City of Los Angeles,Hollywood,34.1,-118.35,Private room,84,88,3.25,2.1413373860182396,658
45400210,Cozy Savana studio in the Heart of Hollywood,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,106,32,3.5,2.1413373860182396,658
45466625,Stylish 2 bedroom apartment,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,148,202,3.75,2.1413373860182396,658
45507005,AMAZING 1BROOM UNIT BY RUNYON CANYON/HOLLYWOOD/9,City of Los Angeles,Hollywood,34.1,-118.35,Entire home/apt,119,29,4.0,2.1413373860182396,658
45568505,"Prime Hollywood 1+1 pool jacuzzi parking gym,roof",City of Los Angeles,Hollywood Hills West,34.1,-118.35,Entire home/apt,149,342,3.0,2.1413373860182396,658
45783050,BEST shared room on Hollywood!,City of Los Angeles,Hollywood,34.1,-118.35,Shared room,33,82,4.0,2.1413373860182396,658
45789909,Best bunk beds on Hollywood blvd,City of Los Angeles,Hollywood,34.1,-118.35,Shared room,34,89,4.0,2.1413373860182396,658
5729,Zen Room with Floating Bed near Venice and LAX,City of Los Angeles,Del Rey,33.99,-118.43,Private room,70,358,3.111,2.20454545454545,88
5843,Artist Oasis near Venice Beach w/ Beautiful Garden,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,135,97,3.375,2.20454545454545,88
400940,"Luxury Seaside Studio,  Pool",City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,141,347,3.667,2.20454545454545,88
1292654,Room in charming home near Venice,Other Cities,Culver City,33.99,-118.43,Private room,55,294,3.556,2.20454545454545,88
2130627,Elegant Guest House-Venice-Marina,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,119,319,3.0,2.20454545454545,88
3868503,2 miles from the ocean,Other Cities,Culver City,33.99,-118.43,Private room,75,116,2.0,2.20454545454545,88
4052819,Cool westside bungalow,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,125,256,3.467,2.20454545454545,88
6491930,Modern Chic Apartment #2,City of Los Angeles,Del Rey,33.99,-118.43,Entire home/apt,121,343,3.0,2.20454545454545,88
6835132,Open comfortable room near LAX,City of Los Angeles,Del Rey,33.99,-118.43,Private room,49,69,3.55,2.20454545454545,88
