listing_id,avg_rating,neighbourhood,latitude,longitude,room_type,price,availability_365,avg_severity_level,count
1186217,3.7,Beverly Crest,34.11,-118.43,0,695,357,2.285714286,7
1187671,5,Highland Park,34.11,-118.18,1,55,365,2.25,124
1187725,3.555555556,Studio City,34.14,-118.39,0,400,305,2.083333333,96
1195078,4.75,Highland Park,34.11,-118.18,1,40,321,2.25,124
1197478,3.483870968,Hancock Park,34.07,-118.34,0,101,251,2.105263158,152
1200696,4,West Hollywood,34.09,-118.36,0,95,322,2.169230769,65
1200697,4,Highland Park,34.12,-118.18,0,175,251,2.22962963,135
1212226,4,Venice,34,-118.46,0,92,276,2.245454545,220
1213127,3.608695652,Venice,34,-118.45,0,184,344,2.067226891,119
1219615,3,Hollywood,34.09,-118.34,0,134,157,2.30458221,371
1220414,3.575,Mid-Wilshire,34.05,-118.36,0,306,88,2.330935252,139
1220989,3,Silver Lake,34.1,-118.27,0,250,296,2.009803922,102
1221430,3.625,Mid-City,34.05,-118.38,1,55,268,2.223826715,277
1226155,3,Silver Lake,34.08,-118.28,0,131,321,2.302419355,248
1226324,3.857142857,Vermont Square,34.01,-118.31,1,40,327,2.425891182,533
1233330,3.444444444,Glendale,34.16,-118.3,0,253,350,1.8,10
1236181,4,West Hollywood,34.09,-118.38,0,164,365,2.09375,32
1240735,3.45,Hollywood Hills West,34.1,-118.38,1,175,321,2.068965517,58
1240859,3.133333333,Hollywood,34.1,-118.33,1,60,364,2.32360515,1165
1240876,3.285714286,Hollywood,34.1,-118.33,1,60,364,2.32360515,1165
1240889,3.4375,Hollywood,34.1,-118.33,1,60,364,2.32360515,1165
1240919,3.464285714,Hollywood,34.1,-118.33,1,70,348,2.32360515,1165
1240928,3.692307692,Hollywood,34.1,-118.33,1,65,352,2.32360515,1165
1243943,3.25,Hollywood Hills,34.11,-118.32,0,508,2,2.157024793,242
1246134,3.555555556,Venice,34,-118.47,1,99,90,2.308510638,282
1246549,3.769230769,Hollywood Hills West,34.11,-118.37,0,259,87,2.636363636,44
1246609,4,Del Rey,33.99,-118.42,0,119,328,2.170731707,164
1249253,3.3125,Los Feliz,34.11,-118.28,0,105,252,2.169014085,142
1251560,4,Mount Washington,34.1,-118.23,0,65,2,2.467391304,92
1253233,4,Venice,33.99,-118.46,0,210,21,2.14354067,209
1256115,4,Koreatown,34.06,-118.32,0,125,18,1.846994536,183
1256361,3.8,Echo Park,34.08,-118.25,0,99,99,2.069767442,86
1256645,3.333333333,West Hollywood,34.09,-118.37,0,200,109,2,36
1259730,3.833333333,Hollywood Hills,34.11,-118.34,0,131,165,2.178294574,129
1260289,4,Fairfax,34.08,-118.36,1,67,89,2.344370861,453
1262262,3.5,Silver Lake,34.09,-118.27,0,127,51,2.147928994,169
1264179,3.5,Fairfax,34.09,-118.35,0,349,279,2.272727273,165
1283815,3.4,Koreatown,34.08,-118.3,0,285,362,2.354114713,401
1292527,3.4,Hollywood Hills West,34.1,-118.36,1,94,364,2.406698565,209
1292654,3.555555556,Culver City,33.99,-118.43,1,55,294,2.204545455,88
1300859,4,West Hollywood,34.09,-118.35,0,94,261,2.272727273,165
1301596,3.222222222,Venice,33.99,-118.46,0,139,282,2.14354067,209
1305483,3.875,Mount Washington,34.11,-118.22,0,160,346,2.0625,16
1309326,3.5,Hollywood,34.1,-118.34,0,54,189,2.34595163,951
1313570,4.5,West Hollywood,34.09,-118.35,1,75,321,2.272727273,165
1316362,3.594594595,Glendale,34.16,-118.3,0,328,335,1.8,10
1317166,3.8,Venice,33.98,-118.47,1,170,281,2.3125,192
1329760,3.5,Woodland Hills,34.16,-118.61,0,292,364,1.958333333,48
1332728,3,Venice,33.99,-118.45,0,250,216,2.419871795,312
1336082,3.4,Venice,33.99,-118.45,0,113,53,2.419871795,312
1351169,3.111111111,West Hollywood,34.09,-118.35,0,188,162,2.272727273,165
1352557,3.6,Sawtelle,34.04,-118.46,1,69,351,2.234693878,392
1354761,3.214285714,Del Rey,33.99,-118.42,0,110,280,2.170731707,164
1364192,3.75,Mount Washington,34.09,-118.21,0,125,167,2.24516129,155
1365676,4,Studio City,34.15,-118.41,0,180,365,2.060773481,181
1373250,3.545454545,Mid-City,34.05,-118.36,1,90,51,2.330935252,139
1381369,3.692307692,Silver Lake,34.09,-118.27,0,380,346,2.147928994,169
